class_name,lang,string_agg
Accusation,en,"indictments;indictment;accusations;Accusation"
Accuse,de,"behauptetet;beschuldigten;beschuldiget;beschuldige;beschuldigte;beschuldigtet;beschuldigt;beschuldigen;Gegenanklagen vorbringen;belaste;belastete;belasteten;belastet;belasten;behauptete;behaupteten;behauptet;behaupte;behaupten;anzuklagen;angeklagt;anklagen"
Accuse,en,"incriminating;incriminated;incriminates;inculpated;inculpates;inculpate;recriminating;accuse;incriminate;impeached;impeaching;accuses;recriminated;accused;accusing;inculpating;allege;impeaches;impeach;alleges;recriminates;alleging;alleged;recriminate"
Acquire,de,"erwarbst;erwabt;erstehen;erstehe;bezieht;erhielten;erhieltst;erhielt;erhaltet;erhält;erhältst;erhalte;erhalten;bezogt;bezogen;bezogst;bezog;beziehst;beziehe;beziehen;erwerben;erwerbe;erwirbt;erwirbst;erwerbt;erworben;erwarb;erwarben;akquiriert;akquirierst;akquiriere;akquirierte;akquiriertest;akquirierten;akquiriertet;beschaffen;beschaffe;beschaffst;beschafft;beschaffte;aneignen;angeeignet;anschaffen;angeschafft;ankaufen;angekauft;ersteht;erstehst;erstand;erstandest;erstandet;erstanden;akquirieren"
Acquire,en,"acquired;acquires;obtain;obtains;obtained;acquire;obtaining;acquiring"
Acquiree,en,"acquirees;Acquiree"
Acquirer,de,"Erwerbers;Erwerberin;Erwerber;Erwerberinnen;Erwerbern"
Acquirer,en,"merchant acquirer;Acquirer;acquirers"
ActionOther,de,"aufbrechen;bestimmst;bestimmtet;bestimmtest;bestimmt;bestimmest;bestimmten;bestimmen;bestimmte;bestimmend;walten;waltet;umgekehrte seite;umkehrschluss;kehrseite;gegenteil;revers;Grundregel;Vorschriften;Vorschrift;Maßstab;Richtlinien;Richtlinie;Bestimmungen;Bestimmung;regel;ausrichten;ausrichtet;ausgerichtet;bezwecken;bezweckt;beabsichtigen;beabsichtigt;beabsichtigung;beabsichtigungen;nvertieren;invertiert;invertierung;invertierungen;befragte;befragt;befrage;auferlegt;auferlegen;imponiert;imponieren;ausschießt;ausgeschoßen;ausschießen;befragen;enthielt;enthieltet;enthält;enthältst;enthaltest;verhängt;verhängen;anfectungen;anfechtung;ablehnungen;ablehnung;aufforderungen;aufforderung;aufgefordertem;aufgeforderten;aufgeforderter;angehen;angeht;angegangen;adressieren;aufgefordertes;aufgeforderte;aufgefordert;herausfordert;anfechten;Herausfordern;Herausforderungen;Herausforderung;enthaltet;enthaltend;enthalten;enthielte;enthalte;enthieltest;enthielten;zusammensetzt;zusammensetzen;umfasst;umfasse;umfassend;umfassen;umfasset;umfasste;umfassest;umfassten;umfasstet;adressiert;berechnen;berechnetest;berechnete;berechnest;berechneten;berechnend;berechnetet;berechne;berechnet;verlangen;verlangt;belasten;belastet;fordern;fordert;gefordert;füllt;umfasstest;gelöst;lösten;löste;löst;lösen;füllen;gefüllt;anrechnen;anrechnet;angerechnet;liquidieren;liquidiert;Gebühr;Gebühre;Gebühren;Berechnung;Berechnungen;sich überlegen;sich überlegt;anzulegen;angelegt;anlegen;zerbrechen;bestimmet;aufgebrochen;sprengen;gesprengt;attestiert;attestierend;attestierest;attestiertet;attestieren;attestierst;attestieret;attestiere;attestierte;attestierten;attestiertest;bezeugt;bezeugen;bezeugest;bezeugtet;bezeugend;bezeuge;bezeuget;bezeugte;bezeugtest;bezeugst;bezeugten;beglaubiget;beglaubigt;beglaubigend;beglaubigten;beglaubigen;beglaubigtet;beglaubige;beglaubigte;beglaubigtest;beglaubigest;beglaubigst;konzessionieren;konzessioniert;konzessionierend;konzessioniertet;konzessionierten;konzessioniertest;konzessionierst;konzessioniere;konzessionierest;konzessionieret;konzessionierte;beurkundet;beurkundete;beurkundeten;beurkundend;beurkundest;beurkundetest;beurkundetet;betreffen;betreffe;betrifft;betroffen;beurkunde;beurkunden;zertifizieren;zertifiziert;zertifizierte;zertifiziertest;zertifizierest;zertifizierten;zertifizierend;zertifizieret;zertifiziere;zertifizierst;zertifiziertet;festsetzt;festgesetzt;festsetzen;augebaut;aufbaut;aufbauen;etablierten;etabliert;etablierend;etablierte;etablieret;etablierest;etablieren;etabliere;etabliertest;etabliertet;etablierst;forschte;geforscht;forscht;forschen;richten;richtet;gerichtet;richtete;richteten;teilen;teile;teilt;geteilt;hinterhergeht;hinterhergehen;nachstellt;nachgestellt;nachstellen;nachgezogen;nachzieht;nachziehen;nachgefolgt;nachfolgt;nachfolgen;nachgekommen;nachkommt;nachkommen;mitverfolgt;mitverfolgen;verfolgt;verfolgen;befolgt;befolgen;erfolgt;erfolgen;folgt;folgen;Kontrollgang;Durchgang;Rundgang;rundet;runden;befördert;befördern;erfordert;erfordern;abgelegt;ablegt;ablegen;holt;holen;mitgenommen;mitnimmt;mitnehmen;ausgeführt;ausführt;ausführen;annimmt;angenommen;annehmen;gezogen;zogt;ziehest;zögen;zieht;zöget;ziehet;zögest;zogen;ziehen;zogst;zöge;ziehe;zog;ziehst;ergreife;ergreifst;ergreifest;ergreifend;ergreifet;ergriffen;ergriffe;ergriffst;ergreift;ergriffet;ergriffest;ergrifft;ergreifen;ergriff;vorgenommen;vornimmt;vornehmen;nähme;nahmen;nehmet;nehmt;nähmet;nahmt;nimmt;nehmest;nähmest;nahm;nahmst;nehme;nimm;nähmen;nimmst;nehmen;bildet;bildetest;bildetet;bildete;bilde;bilden;bewilliget;bewilligtet;bewilligst;bewilligt;bewilligte;bewillige;bewilligten;bewilligest;bewilligend;bewilligen;bewilligtest;erschwingt;erschwängen;erschwangt;erschwänget;erschwängest;erschwang;erschwinget;erschwinge;erschwangst;erschwingest;erschwingend;erschwingen;erschwingst;erschwungen;erschwänge;erschwangen;gewährt;gewähren;bereitetet;bereiteten;bereitetest;bereitet;bereiten;bereitete;bereite;bereitest;anzubieten;ausgeboten;ausbietet;ausbieten;anbietet;anklammern;anzuklammern;angeklammert;angeboten;anbieten;ausgesetzt;aussetzt;aussetzen;offeriertest;offerierst;offerierest;offerieren;offerierten;offeriere;offerierte;offerieret;offeriertet;offerierend;offeriert;bötet;botest;bietet;böten;böte;bot;bieten;bötest;botet;boten;biete;bietest;bildest;bildeten;bezeichnest;bezeichneten;bezeichnetest;bezeichnet;bezeichnete;bezeichnend;bezeichne;bezeichnen;bezeichnetet;konstituierst;konstituieren;konstituierest;konstituierend;konstituiertest;konstituierte;gab;gebe;gaben;gib;gäbe;einzustufen;eingestuft;gäbet;gibt;gabt;gabst;geben;gebest;gäben;gebet;nachgebend;gebt;gibst;gäbest;verfasste;verfassend;verfasst;verfasset;verfassest;verfassten;verfassen;verfasse;verfasstet;verfasstest;komponiert;komponierten;komponieren;komponiertet;komponiere;komponierst;komponiertest;komponierest;komponierte;konstituiertet;konstituierten;konstituiere;konstituieret;konstituiert;urteilen;urteilst;urteiltest;urteilten;urteile;urteilest;urteilt;urteiltet;urteilte;urteilet;mitgestaltet;mitgestalten;ausgestaltet;ausgestalten;eingerichtet;einrichten;gliedern;gliedertet;gliederten;gliederte;gliedertest;gliedere;gliederst;gliedert;veranstalteten;einstufen;veranstaltete;veranstaltet;veranstaltetest;veranstaltest;veranstalte;veranstalten;veranstaltend;veranstaltetet;organisieret;durchorganisierend;organisieren;organisiert;organisiere;durch;durchorganisiert;organisierte;organisiertest;organisiertet;organisierten;durchorganisieren;organisierest;organisierst;durchzuorganisieren;gewählt;wähle;wählt;wählen;Ausstände;Ausstand;Schlages;Schlag;Streiks;Streik;disputiertem;disputierten;disputierter;disputiertes;disputierte;ausgefechtem;ausgefechten;ausgefechter;ausgefechtes;ausgefechte;ausgefecht;ausfechten;disputierungen;disputierung;disputiert;disputieren;Widerstände;Widerstand;Anstrengungen;Anstrengung;angekämpft;anzukämpfen;Kampf;Schlachts;Schlacht;ankämpfend;kämpft;kämpftet;abkämpfend;abzukämpfen;kämpften;abgekämpft;kämpfen;kämpfe;kämpfst;kämpfte;kämpfet;abkämpfen;kämpfest;kämpftest;anschlagend;schlüge;anschlagen;schlugst;angeschlagen;schlugen;schlagen;schlüget;schlagt;schlägst;schlagest;schlugt;schlug;schlügest;schlaget;schlügen;anzuschlagen;schlägt;schlage;reserviert;reservieren;vorgemerkt;vormerken;vorbehaltend;vorzubehalten;vorbehalten;zurückgerufen;zurückzurufen;zurückrufend;rückrufaktionen;rückrufaktion;rückruf;abgerufen;abrufend;abrufen;bezweifelten;bezweifelte;bezweifelt;bezweifeln;gezweifelt;zweifelten;zweifelte;zweifelt;zweifeln;deutet;deuten;gerichtet;richtet;richten;geführt;führt;führen;ermittelte;ermitteltest;ermittelst;ermittelten;ermittelt;ermittelnd;ermittele;ermitteln;ermitteltet;aufgefunden;aufzufinden;auffinden;erführe;erfuhr;erfahre;erfährst;erfuhren;erführest;erfahren;erführen;erfahrest;erfährt;erfahrt;erführet;erfuhrst;erfuhrt;erfahrend;erfahret;entdecktest;entdecket;entdeckte;entdeckten;entdeckend;entdeckt;entdecktet;entdeckst;entdecke;entdeckest;entdecken;herausfindete;herausgefunden;herausfindet;herausfinden;bemerkend;bemerkten;bemerken;bemerkest;bemerkst;bemerket;bemerke;bemerktest;bemerktet;bemerkt;bemerkte;detektierte;detektiert;detektieren;erkanntest;abzuerkennen;erkennten;erkannten;erkannte;erkennet;erkenne;erkennen;erkenntest;erkennte;erkennst;erkenntet;erkennest;erkennt;erkanntet;erkanntest;ordiniertest;erkanntet;ordinieret;ordinierte;ordiniertet;ordinierend;ordiniert;ordinierest;ordinierst;ordinieren;ordiniere;ordinierten;weihtest;weihte;weihet;weihest;weiht;weihst;weihend;weihten;weihtet;weihe;geweiht;weihen;regiert;regierten;regieren;erkennt;erkennest;erkenntet;erkennst;aberkennen;aberkannt;erkennte;erkenntest;erkennen;erkenne;erkennet;erkannte;erkannten;erkennten;aberkennend;regierest;hineinregierend;hineinzuregieren;regiere;regele;abregelnd;regelt;abgeregelt;regeltet;schlichte;schlichtest;schlichtet;schlichtetet;schlichtete;schlichtend;geschlichtet;schlichtetest;schlichten;schlichteten;vermittelten;vermittelst;vermitteltet;vermittelt;vermitteltest;weitervermitteln;abregeln;regelst;regeltest;regelten;regelte;regeln;abzuregeln;hinein;hineinregiert;regiertet;regieret;regierte;weitervermittelnd;vermitteln;weiter;weiterzuvermitteln;weitervermittelt;vermittele;vermittelte;rückwärst;regiertest;hineinregieren;regierst;herrsche;zurückgestoßen;herrschet;anherrschen;vertauscht;umgedrehtem;umgedrehten;umgedrehter;anherrschend;anzuherrschen;herrschst;herrschtet;herrschtest;herrscht;herrschest;herrschten;herrschen;herrschte;umgedrehtes;umgedrehte;invers;angeherrscht;entgegengesetz;umwendungen;umwendung;umgewendet;umwenden;Rückwärtsgang;zurückstoßen;herumgedreht;herumdrehen;annulierungen;annulierung;annuliert;annulieren;zurückgebucht;zurückbuchen;zurückgefahren;zurückfahren;zurückgesetzt;zurücksetzen;stonierungen;stornierung;storniert;stornieren;reversiert;reversieren;umgedreht;umdrehen;umgekehrtem;umgekehrten;umgekehrter;umgekehrtes;umgekehrte;umgekehrt;umkehren;rückschlägen;rückschläge;rückschlag;niederlagen;niederlage;linieren;liniert;linierung;bestimme"
ActionOther,en,"stritten;scrambling;certify;certifies;certified;certifying;battle;battles;battled;offer;offers;offered;offering;surveying;challenge;challenges;challenged;challenging;surveyed;surveys;survey;battling;addressing;addressed;addresses;address;bestreite;bestreiten;bestrittet;bestreitest;bestreitend;pegged;constitute;constitutes;constituted;constituting;pegs;peg;afford;affords;afforded;affording;bestrittest;imposing;bestritten;bestritt;bestritte;bestreitet;imposed;imposes;impose;stritte;streite;gestritten;strittet;streitet;strittest;stritt;scrambled;scrambles;scramble;ascertain;ascertains;ascertained;ascertaining;charging;make;makes;made;reverse;ordain;ordains;ordained;ordaining;organising;arbitrate;arbitrates;organised;organises;organise;organizing;organized;organizes;organize;detecting;establishing;established;establishes;establish;charged;charges;arbitrated;arbitrating;hatted;charge;hats;reversing;gets;direct;concerning;concerned;concerns;concern;directs;ranks;directed;directing;realizing;detected;detects;researched;grapple;grapples;grappled;grappling;focus;focuses;focused;focusing;picking;picked;picks;pick;inverts;divide;divides;divided;dividing;realized;realizes;researches;research;realize;point;adjudicate;inverted;inverting;adjudicates;adjudicated;adjudicating;rule;rules;ruled;striking;comprising;points;pointed;striked;strikes;strike;ruling;reverses;reversed;detect;get;pointing;following;followed;follows;follow;aim;aims;discovering;discovered;discovers;rounding;rounded;rounds;round;discover;hat;contending;contended;contends;contend;doubt;doubts;reign;reigns;reigned;reigning;doubting;doubted;aimed;aiming;earning;earned;comprised;comprises;comprise;struggled;struggling;struggles;struggle;resolving;resolved;resolves;resolve;wonder;wonders;wondered;tracking;tracked;wondering;tracks;track;getting;gotten;question;questions;questioned;questioning;feel;feels;felt;laying out;compose;composes;composed;streitest;streitend;streiten;composing;breaking off;broken up;broke up;break up;laid out;enshrining;enshrined;enshrines;taking;took;takes;take;enshrine;lay out;lays out;earns;earn;give;gives;gave;giving;got;recall;recalls;recalled;recalling;ranked;rank;reserve;reserves;reserved;reserving"
